idap_line,alarm_name,alarm_def_id,what_fixed_it,classification,derived_tier,occurrence_count,total_downtime_mins,avg_downtime_mins,distinct_days_affected,first_occurrence,last_occurrence,maximo_cm_count,top_assetnum,top_asset_location,top_failure_code,top_failure_code_desc,sample_wo_descriptions,frequency_tier,last_wo_date,days_since_last_wo,last_wonum,last_wo_description,last_wo_worktype,last_wo_assetnum,last_wo_asset_location,last_wo_failurecode,work_performed,root_cause
A2,A2 Zone 2 Paused,7786,null,null,TIER 2 - Critical Active,45991,81271.8,1.8,332,2025-07-08 17:28:11,2026-07-08 15:30:58,1187,K323502,IC0150A2AMODULEA,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A2,Starved,4215,null,null,TIER 2 - Critical Active,16036,28800.1,1.8,332,2025-07-08 17:39:16,2026-07-08 15:15:48,1180,K323513,IC0150A2RADIOMETER1,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A2,Starved - Pucks Outfeed Maximum,3017,null,null,TIER 2 - Critical Active,14690,28494.3,1.9,330,2025-07-08 18:08:17,2026-07-08 14:39:55,1144,K323513,IC0150A2RADIOMETER1,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,Starved,4151,null,null,TIER 2 - Critical Active,10908,24985.9,2.3,305,2025-07-08 16:38:58,2026-07-08 14:13:22,1301,K407105,IC0150A5B270GLUEDISPCK,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CASE FORMING ISSUE | A1 DSSA LOADER WON'T RUN,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A1,Starved,4213,null,null,TIER 2 - Critical Active,29501,22582.3,0.8,233,2025-07-19 02:53:33,2026-06-24 00:01:42,755,K291053,IC0150A1A210DSSAFLIPLOAD,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A1,Blocked,4214,null,null,TIER 2 - Critical Active,12909,19514.5,1.5,237,2025-07-19 03:42:20,2026-07-08 14:31:23,770,K291052,IC0150A1AMODULEA,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-07-08T10:33:08.000Z,0,28128893,A1 DSSA LOADER - OVERLOADS,CM,K291052,IC0150A1AMODULEA,ASSY,null,null
A5,Starved LBL_INFD.LOWLEVELF Infeed Product Level Low,2761,null,null,TIER 2 - Critical Active,32037,19198.3,0.6,335,2025-07-08 16:38:30,2026-07-08 06:00:38,1357,K407186,IC0150A5EMODULEE,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,Blocked (Good Pen Backup),2760,null,null,TIER 2 - Critical Active,5646,19180.2,3.4,329,2025-07-08 17:42:47,2026-07-08 15:03:02,1118,K323713,IC0150A2EFEEDER1,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A2,C30F56 Relabel Merge Norm No Puck Fail,1176,null,null,TIER 2 - Critical Active,4100,16051.0,3.9,189,2025-08-08 10:43:01,2026-07-08 15:14:33,386,K323506,IC0150A2EMODULEE,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M | A2  2D Gantry  R3 Cartridge loader issues.,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A2,Blocked,4216,null,null,TIER 2 - Critical Active,10063,15059.9,1.5,330,2025-07-08 17:15:09,2026-07-08 15:18:46,1166,K323714,IC0150A2EFEEDER2,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,Blocked,2619,null,null,TIER 2 - Critical Active,6425,13755.6,2.1,319,2025-07-08 16:34:49,2026-07-08 11:35:23,1185,K407105,IC0150A5B270GLUEDISPCK,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,A2 Zone 2 Faulted,4296,null,null,TIER 2 - Critical Active,3885,11777.7,3.0,308,2025-07-08 19:05:51,2026-07-08 14:52:58,781,K323596,IC0150A2B350AUDITREJECTV,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,SEV3 Pusher safety overload (341-B1 ) Open Guard 20 to eliminate the cause of the error,2646,null,null,TIER 2 - Critical Active,7095,11361.2,1.6,315,2025-07-09 00:25:08,2026-07-08 11:23:12,1233,K407166,IC0150A5B280CARTLOAD,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A5,SEV6 Guards open,2622,null,null,TIER 2 - Critical Active,4127,9196.6,2.2,329,2025-07-08 19:03:54,2026-07-08 12:38:59,1299,K407105,IC0150A5B270GLUEDISPCK,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,A2 Zone 0 Idle,7763,null,null,TIER 2 - Critical Active,2117,8191.8,3.9,324,2025-07-08 18:09:03,2026-07-08 03:02:44,989,K323613,IC0150A2BELECTRICAL5,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M | A2  2D Gantry  R3 Cartridge loader issues.,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A1,A1 Zone 0 Idle,7802,null,null,TIER 2 - Critical Active,1038,8107.7,7.8,224,2025-07-19 20:08:45,2026-07-08 15:08:40,577,K291069,IC0150A1CMODULEC,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A5,A5 Zone 0 Idle,7767,null,null,TIER 2 - Critical Active,1997,7415.2,3.7,315,2025-07-09 01:28:53,2026-07-08 12:52:31,1114,K407156,IC0150A5CMODULEC,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CASE FORMING ISSUE | A2 DELIVERY EJECT CYLINDER NOT IN WORK POSITION,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A1,C16P11 Cap Fdr 1 Trk 2 No Prt,475,null,null,TIER 2 - Critical Active,13252,7059.0,0.5,225,2025-07-19 04:10:58,2026-06-23 23:40:46,685,K291175,IC0150A1EMODULEE,ASSY,Assembly Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-21T21:37:31.000Z,17,28017858,A1 BAD CARTON KICK OUTS D982466A,CM,K407468,IC0150A1EQOB,VISN,null,null
A1,C10P9 Chass Exit Dssa Thru Entry High,499,null,null,TIER 2 - Critical Active,4723,6333.5,1.3,223,2025-07-19 03:43:50,2026-07-08 14:53:59,638,K291069,IC0150A1CMODULEC,ASSY,Assembly Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-07-08T10:33:08.000Z,0,28128893,A1 DSSA LOADER - OVERLOADS,CM,K291052,IC0150A1AMODULEA,ASSY,null,null
A2,Blocked By Zone 1,7752,null,null,TIER 2 - Critical Active,9087,5628.5,0.6,329,2025-07-08 18:00:35,2026-07-08 13:18:27,1088,K323506,IC0150A2EMODULEE,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M | A2  2D Gantry  R3 Cartridge loader issues.,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A1,A1 Zone 1 Idle,7804,null,null,TIER 2 - Critical Active,690,5045.0,7.3,196,2025-07-19 04:32:20,2026-07-08 15:33:21,443,K291052,IC0150A1AMODULEA,ASSY,Assembly Equipment,A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT | A1 - Cartoner - Batch #D859830X - QOB Adjustments,CRITICAL - Daily or more,2026-06-21T21:37:31.000Z,17,28017858,A1 BAD CARTON KICK OUTS D982466A,CM,K407468,IC0150A1EQOB,VISN,null,null
A2,A2 Zone 1 Idle,7781,null,null,TIER 2 - Critical Active,669,4512.7,6.7,254,2025-07-08 23:20:20,2026-07-08 00:06:46,524,K323503,IC0150A2BMODULEB,ASSY,Assembly Equipment,A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M | A2  HIGH REJECTS CAMERA 2 | A2  LABELER HIGH KICKOFF RATE CIRCLE SEARCH FAIL D881100F,CRITICAL - Daily or more,2026-07-07T22:28:34.000Z,1,28126391,A2 CARTRIDGE LOAD G2D CARTRIDGE STICKING IN GRIPPER,CM,K323589,IC0150A2B280LOADCART,ASSY,CLEAN THE 1L GRIPPER ON THE G2D,:
A2,Label Head 2 End of Web Fault,7637,null,null,TIER 2 - Critical Active,2225,4390.6,2.0,323,2025-07-08 19:34:37,2026-07-08 14:56:16,981,K323613,IC0150A2BELECTRICAL5,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A2,A2 Zone 2 Idle,7787,null,null,TIER 2 - Critical Active,808,4159.0,5.1,280,2025-07-09 11:10:02,2026-07-08 00:06:40,554,K323714,IC0150A2EFEEDER2,ASSY,Assembly Equipment,A2  HIGH KICKOFF RATE FOR THE PLUS SIGN D831045AA | A2  HIGH REJECTS CAMERA 2 | A2  RECONCILER FAULT,CRITICAL - Daily or more,2026-07-07T22:28:34.000Z,1,28126391,A2 CARTRIDGE LOAD G2D CARTRIDGE STICKING IN GRIPPER,CM,K323589,IC0150A2B280LOADCART,ASSY,CLEAN THE 1L GRIPPER ON THE G2D,:
A1,Guards open ,184,null,null,TIER 2 - Critical Active,2169,4148.4,1.9,227,2025-07-19 02:54:52,2026-06-23 23:20:06,650,K291053,IC0150A1A210DSSAFLIPLOAD,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A2,A2 Zone 0 Faulted,4294,null,null,TIER 2 - Critical Active,8164,4107.9,0.5,329,2025-07-08 18:08:17,2026-07-08 12:54:34,1141,K334518,IC0150A2UVRAD0511,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,Starved,4217,null,null,TIER 2 - Critical Active,17049,4067.7,0.2,330,2025-07-08 17:06:19,2026-07-08 11:36:06,1384,K407232,IC0150A5EFEEDER2,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A5,A5 Zone 0 Paused,7766,null,null,TIER 2 - Critical Active,9064,3891.4,0.4,330,2025-07-08 17:06:38,2026-07-08 12:35:52,1349,K407195,IC0150A5IMODULEI,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A5,Blocked By Zone 1,7810,null,null,TIER 2 - Critical Active,3578,3770.4,1.1,321,2025-07-08 17:48:52,2026-07-08 08:51:39,1093,K407166,IC0150A5B280CARTLOAD,PACK,Packaging Equipment,A1 CARTON NO READ SENSOR NOT WORKING | A2 BACK BANK ON 2D GANTRY LOOSE | A2 DELIVERY EJECT CYLINDER NOT IN WORK POSITION,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A1,Robot machine fault ,139,null,null,TIER 2 - Critical Active,1951,3709.2,1.9,225,2025-07-19 03:20:50,2026-06-24 00:12:55,642,K334823,IC0150A1B270GLUEDISPCK,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A5,A5 Zone 0 Faulted,4297,null,null,TIER 2 - Critical Active,6034,3685.4,0.6,329,2025-07-08 17:45:51,2026-07-08 11:05:37,1374,K407184,IC0150A5EPRINTER,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,C30F51 Relabel Merge Relabel Entry High No Puck Fail,1172,null,null,TIER 2 - Critical Active,1292,3648.7,2.8,183,2025-07-11 01:18:41,2026-07-01 05:23:37,319,K334766,IC0150A2B270GLUEDISPCK,ASSY,Assembly Equipment,A1 CARTON SKEW | A2  HIGH KICKOFF RATE FOR THE PLUS SIGN D831045AA | A2  HIGH REJECTS CAMERA 2,CRITICAL - Daily or more,2026-07-01T03:58:48.000Z,7,28049065,A2 CELL 14 REJECTS,CM,K323589,IC0150A2B280LOADCART,ASSY,POWER CYCLE THE DSSA CAMERA,UNKNOWN
A2,Camera 2 Fault,7643,null,null,TIER 2 - Critical Active,2696,3631.1,1.3,320,2025-07-08 17:20:51,2026-07-08 08:22:05,898,K334518,IC0150A2UVRAD0511,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,A5 Zone 1 Idle,7789,null,null,TIER 2 - Critical Active,661,3414.8,5.2,256,2025-07-09 01:28:44,2026-07-08 12:49:49,574,K407105,IC0150A5B270GLUEDISPCK,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CASE FORMING ISSUE | A2 BACK BANK ON 2D GANTRY LOOSE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,GUARD OPEN SQ1,7675,null,null,TIER 2 - Critical Active,1488,3411.0,2.3,290,2025-07-08 17:42:22,2026-07-07 12:10:14,729,K323506,IC0150A2EMODULEE,ASSY,Assembly Equipment,A1 CARTON SKEW | A2  HIGH REJECTS CAMERA 2 | A2  LABELER HIGH KICKOFF RATE CIRCLE SEARCH FAIL D881100F,CRITICAL - Daily or more,2026-07-07T13:26:27.000Z,1,28124716,"A2 DSSA LOADER, DSSAs LOOSE IN FLIP TRANSFER",CM,K323502,IC0150A2AMODULEA,ASSY,ADJUSTED Y-AXIS,PARTS LOOSE IN FLIP TRANSFER
A5,SEV6 fault guard 2 is open (021-B2),2725,null,null,TIER 2 - Critical Active,2304,3258.5,1.4,327,2025-07-08 17:39:00,2026-07-08 11:14:46,1308,K407474,IC0150A5EQOB,PACK,Packaging Equipment,A% final cure belt motor and gear box D743385A | A1 CARTON NO READ SENSOR NOT WORKING | A1 CASE FORMING ISSUE,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
